SCI;NO;EN
Parabuteo leucorrhous;hvitgumpvåk;White-rumped Hawk
Geranoaetus albicaudatus;hvithalevåk;White-tailed Hawk
Geranoaetus polyosoma;andesvåk;Variable Hawk
Geranoaetus melanoleucus;høvdingvåk;Black-chested Buzzard-Eagle
Pseudastur polionotus;kuttevåk;Mantled Hawk
Pseudastur albicollis;hvitvåk;White Hawk
Pseudastur occidentalis;ecuadorvåk;Grey-backed Hawk
Leucopternis semiplumbeus;galenavåk;Semiplumbeous Hawk
Leucopternis melanops;maskevåk;Black-faced Hawk
Leucopternis kuhli;hvitbrynvåk;White-browed Hawk
Bermuteo avivorus;bermudavåk;Bermuda Hawk
Buteo plagiatus;nordgråvåk;Grey Hawk
Buteo nitidus;sørgråvåk;Grey-lined Hawk
Buteo lineatus;rødvingevåk;Red-shouldered Hawk
Buteo ridgwayi;hispaniolavåk;Ridgway's Hawk
Buteo platypterus;bredvingevåk;Broad-winged Hawk
Buteo albigula;hvitstrupevåk;White-throated Hawk
Buteo brachyurus;korthalevåk;Short-tailed Hawk
Buteo solitarius;hawaiivåk;Hawaiian Hawk
Buteo swainsoni;prærievåk;Swainson's Hawk
Buteo galapagoensis;galapagosvåk;Galapagos Hawk
Buteo albonotatus;båndhalevåk;Zone-tailed Hawk
Buteo jamaicensis;rødhalevåk;Red-tailed Hawk
Buteo ventralis;patagoniavåk;Rufous-tailed Hawk
Buteo regalis;kongevåk;Ferruginous Hawk
Buteo lagopus;fjellvåk;Rough-legged Buzzard
Buteo hemilasius;mongolvåk;Upland Buzzard
Buteo japonicus;amurvåk;Eastern Buzzard
Buteo refectus;himalayavåk;Himalayan Buzzard
Buteo rufinus;ørnvåk;Long-legged Buzzard
Buteo bannermani;kappverdevåk;Cape Verde Buzzard
Buteo socotraensis;sokotravåk;Socotra Buzzard
Buteo buteo;musvåk;Common Buzzard
Buteo trizonatus;skogvåk;Forest Buzzard
Buteo oreophilus;flekkvåk;Mountain Buzzard
Buteo auguralis;brunhodevåk;Red-necked Buzzard
Buteo brachypterus;madagaskarvåk;Madagascar Buzzard
Buteo augur;augurvåk;Augur Buzzard
Buteo rufofuscus;sjakalvåk;Jackal Buzzard
Tyto tenebricosa;sotslørugle;Greater Sooty Owl
Tyto multipunctata;fantomslørugle;Lesser Sooty Owl
Tyto inexspectata;minahasaslørugle;Minahasa Masked Owl
Tyto nigrobrunnea;taliabuslørugle;Taliabu Masked Owl
Tyto sororcula;tanimbarslørugle;Moluccan Masked Owl
Tyto manusi;manusslørugle;Manus Masked Owl
Tyto aurantia;gullslørugle;Golden Masked Owl
Tyto novaehollandiae;storslørugle;Australian Masked Owl
Tyto rosenbergii;sulawesislørugle;Sulawesi Masked Owl
Tyto soumagnei;okerslørugle;Red Owl
Tyto alba;tårnugle;Western Barn Owl
Tyto furcata;amerikatårnugle;American Barn Owl
Tyto javanica;rotteslørugle;Eastern Barn Owl
Tyto deroepstorffi;aprikosslørugle;Andaman Masked Owl
Tyto glaucops;hispaniolaslørugle;Ashy-faced Owl
Tyto capensis;gresslørugle;African Grass Owl
Tyto longimembris;engslørugle;Eastern Grass Owl
Tyto prigoginei;kivuslørugle;Itombwe Owl
Phodilus badius;hornslørugle;Oriental Bay Owl
Phodilus assimilis;singaleserslørugle;Sri Lanka Bay Owl
Uroglaux dimorpha;papuaugle;Papuan Hawk-Owl
Ninox albifacies;latterugle;Laughing Owl
Ninox rufa;sahulugle;Rufous Owl
Ninox strenua;våkugle;Powerful Owl
Ninox connivens;bjeffeugle;Barking Owl
Ninox rudolfi;storsumbaugle;Sumba Boobook
Ninox boobook;boobookugle;Australian Boobook
Ninox rotiensis;grynteugle;Rote Boobook
Ninox fusca;timorugle;Timor Boobook
Ninox plesseni;alorugle;Alor Boobook
Ninox leucopsis;tasmanugle;Tasmanian Boobook
Ninox novaeseelandiae;nattsvermerugle;Morepork
Ninox japonica;falkugle;Northern Boobook
Ninox scutulata;hjerteugle;Brown Boobook
Ninox obscura;mørkugle;Hume's Boobook
Ninox randi;sjokoladeugle;Chocolate Boobook
Ninox affinis;klageugle;Andaman Boobook
Ninox philippensis;filippinereugle;Luzon Boobook
Ninox spilocephala;flekkstrupeugle;Mindanao Boobook
Ninox leventisi;vatreugle;Camiguin Boobook
Ninox reyi;spragleugle;Sulu Boobook
Ninox rumseyi;cebuugle;Cebu Boobook
Ninox spilonotus;tablasugle;Romblon Boobook
Ninox mindorensis;rustbukugle;Mindoro Boobook
Ninox sumbaensis;småsumbaugle;Least Boobook
Ninox burhani;togianugle;Togian Boobook
Ninox ochracea;okerbukugle;Ochre-bellied Boobook
Ninox ios;tostøtugle;Cinnabar Boobook
Ninox hypogramma;halmaheraugle;Halmahera Boobook
Ninox hantu;hantuugle;Buru Boobook
Ninox squamipila;seramugle;Seram Boobook
Ninox forbesi;tanimbarugle;Tanimbar Boobook
Ninox natalis;christmasugle;Christmas Boobook
Ninox meeki;manusugle;Manus Boobook
Ninox theomacha;hekseugle;Papuan Boobook
Ninox punctulata;maseugle;Speckled Boobook
Ninox odiosa;dryadeugle;New Britain Boobook
Ninox variegata;bismarckugle;New Ireland Boobook
Margarobyas lawrencii;gulbeinugle;Bare-legged Owl
Taenioptynx brodiei;janusugle;Collared Owlet
Taenioptynx sylvaticus;sundaugle;Sunda Owlet
Micrathene whitneyi;alveugle;Elf Owl
Xenoglaux loweryi;kinnskjeggugle;Long-whiskered Owlet
Aegolius funereus;perleugle;Boreal Owl
Aegolius acadicus;slipeugle;Northern Saw-whet Owl
Aegolius gradyi;bermudaugle;Bermuda Saw-whet Owl
Aegolius ridgwayi;kanelugle;Unspotted Saw-whet Owl
Aegolius harrisii;svartbrynugle;Buff-fronted Owl
Athene blewitti;karmaugle;Forest Owlet
Athene superciliaris;hvitbrynugle;White-browed Owl
Athene cunicularia;graveugle;Burrowing Owl
Athene noctua;kirkeugle;Little Owl
Athene brama;tempelugle;Spotted Owlet
Athene jacquinoti;salomonugle;West Solomons Owl
Athene granti;guadalcanalugle;Guadalcanal Owl
Athene malaitae;malaitaugle;Malaita Owl
Athene roseoaxillaris;makiraugle;Makira Owl
Surnia ulula;haukugle;Northern Hawk-Owl
Glaucidium passerinum;spurveugle;Eurasian Pygmy Owl
Glaucidium perlatum;savanneugle;Pearl-spotted Owlet
Glaucidium tephronotum;gråhodeugle;Red-chested Owlet
Glaucidium sjostedti;skarabidugle;Sjöstedt's Barred Owlet
Glaucidium cuculoides;orientgjøkugle;Asian Barred Owlet
Glaucidium castanopterum;javagjøkugle;Javan Owlet
Glaucidium radiatum;indiaugle;Jungle Owlet
Glaucidium castanotum;singaleserugle;Chestnut-backed Owlet
Glaucidium capense;dvergugle;African Barred Owlet
Glaucidium albertinum;tutsiugle;Albertine Owlet
Glaucidium californicum;tusseugle;Northern Pygmy Owl
Glaucidium gnoma;gnomugle;Mountain Pygmy Owl
Glaucidium hoskinsii;bajaugle;Baja Pygmy Owl
Glaucidium cobanense;cobanugle;Guatemalan Pygmy Owl
Glaucidium costaricanum;costaricaugle;Costa Rican Pygmy Owl
Glaucidium nubicola;neblinaugle;Cloud-forest Pygmy Owl
Glaucidium jardinii;oreadeugle;Andean Pygmy Owl
Glaucidium bolivianum;yungasugle;Yungas Pygmy Owl
Glaucidium palmarum;colimaugle;Colima Pygmy Owl
Glaucidium sanchezi;tamaulipasugle;Tamaulipas Pygmy Owl
Glaucidium griseiceps;askehodeugle;Central American Pygmy Owl
Glaucidium parkeri;vetteugle;Subtropical Pygmy Owl
Glaucidium hardyi;jungelugle;Amazonian Pygmy Owl
Glaucidium minutissimum;knøttugle;East Brazilian Pygmy Owl
Glaucidium mooreorum;pernambucougle;Pernambuco Pygmy Owl
Glaucidium brasilianum;øgleugle;Ferruginous Pygmy Owl
Glaucidium peruanum;peruugle;Pacific Pygmy Owl
Glaucidium nana;skjellgranugle;Austral Pygmy Owl
Glaucidium siju;kubaugle;Cuban Pygmy Owl
Otus gurneyi;dråpeugle;Giant Scops Owl
Otus sagittatus;hvitpanneugle;White-fronted Scops Owl
Otus rufescens;rustugle;Reddish Scops Owl
Otus thilohoffmanni;serendibugle;Serendib Scops Owl
Otus icterorhynchus;epifyttugle;Sandy Scops Owl
Otus ireneae;sokokeugle;Sokoke Scops Owl
Otus balli;andamanugle;Andaman Scops Owl
Otus alfredi;floresugle;Flores Scops Owl
Otus spilocephalus;fløyteugle;Mountain Scops Owl
Otus angelinae;javaugle;Javan Scops Owl
Otus mirus;mindanaougle;Mindanao Scops Owl
Otus longicornis;luzonugle;Luzon Scops Owl
Otus mindorensis;mindorougle;Mindoro Scops Owl
Otus madagascariensis;torotorokaugle;Torotoroka Scops Owl
Otus rutilus;madagaskarugle;Rainforest Scops Owl
Otus mayottensis;mayotteugle;Mayotte Scops Owl
Otus pauliani;komorugle;Karthala Scops Owl
Otus capnodes;anjouanugle;Anjouan Scops Owl
Otus moheliensis;mohéliugle;Moheli Scops Owl
Otus grucheti;reunionugle;Reunion Scops Owl
Otus sauzieri;mauritiusugle;Mauritius Scops Owl
Otus murivorus;rodriguesugle;Rodrigues Scops Owl
Otus brucei;ravineugle;Pallid Scops Owl
Otus pamelae;araberugle;Arabian Scops Owl
Otus scops;dverghornugle;Eurasian Scops Owl
Otus cyprius;afroditeugle;Cyprus Scops Owl
Otus bikegila;principeugle;Principe Scops Owl
Otus pembaensis;pembaugle;Pemba Scops Owl
Otus hartlaubi;saotomeugle;Sao Tome Scops Owl
Otus senegalensis;akasieugle;African Scops Owl
Otus feae;annobonugle;Annobon Scops Owl
Otus socotranus;sokotraugle;Socotra Scops Owl
Otus sunia;orientugle;Oriental Scops Owl
Otus elegans;ryukyuugle;Ryukyu Scops Owl
Otus magicus;trollugle;Moluccan Scops Owl
Otus tempestatis;sjamanugle;Wetar Scops Owl
Otus sulaensis;sulaugle;Sula Scops Owl
Otus beccarii;biakugle;Biak Scops Owl
Otus manadensis;sulawesiugle;Sulawesi Scops Owl
Otus mendeni;banggaiugle;Banggai Scops Owl
Otus siaoensis;siauugle;Siau Scops Owl
Otus collari;sangiheugle;Sangihe Scops Owl
Otus mantananensis;suluugle;Mantanani Scops Owl
Otus insularis;mahéugle;Seychelles Scops Owl
Otus alius;nikobarugle;Nicobar Scops Owl
Otus umbra;simeulueugle;Simeulue Scops Owl
Otus enganensis;engganougle;Enggano Scops Owl
Otus mentawi;mentawaiugle;Mentawai Scops Owl
Otus brookii;rajaugle;Rajah Scops Owl
Otus bakkamoena;landsbyugle;Indian Scops Owl
Otus lettia;halsbåndugle;Collared Scops Owl
Otus semitorques;kamiugle;Japanese Scops Owl
Otus lempiji;krageugle;Sunda Scops Owl
Otus megalotis;storfilippinerugle;Philippine Scops Owl
Otus nigrorum;negrosugle;Negros Scops Owl
Otus everetti;småfilippinerugle;Everett's Scops Owl
Otus fuliginosus;palawanugle;Palawan Scops Owl
Otus silvicola;bambusugle;Wallace's Scops Owl
Otus jolandae;lombokugle;Rinjani Scops Owl
Otus podarginus;palauugle;Palau Scops Owl
Ptilopsis leucotis;hvitfjesugle;Northern White-faced Owl
Ptilopsis granti;rødøyeugle;Southern White-faced Owl
Asio grammicus;jamaicaugle;Jamaican Owl
Asio clamator;stripeugle;Striped Owl
Asio otus;hornugle;Long-eared Owl
Asio abyssinicus;fjellhornugle;Abyssinian Owl
Asio madagascariensis;gasserhornugle;Madagascar Owl
Asio stygius;styksugle;Stygian Owl
Asio flammeus;jordugle;Short-eared Owl
Asio capensis;gressugle;Marsh Owl
Asio solomonensis;kampugle;Fearful Owl
Jubula lettii;mankeugle;Maned Owl
Bubo scandiacus;snøugle;Snowy Owl
Bubo virginianus;amerikahubro;Great Horned Owl
Bubo magellanicus;chilehubro;Lesser Horned Owl
Bubo bubo;hubro;Eurasian Eagle-Owl
Bubo bengalensis;bengalhubro;Indian Eagle-Owl
Bubo ascalaphus;ørkenhubro;Pharaoh Eagle-Owl
Bubo capensis;kopjehubro;Cape Eagle-Owl
Bubo milesi;wadihubro;Arabian Eagle-Owl
Bubo cinerascens;sahelhubro;Greyish Eagle-Owl
Bubo africanus;flekkhubro;Spotted Eagle-Owl
Ketupa poensis;småhubro;Fraser's Eagle-Owl
Ketupa leucosticta;billehubro;Akun Eagle-Owl
Ketupa lactea;gråhubro;Verreaux's Eagle-Owl
Ketupa shelleyi;herkuleshubro;Shelley's Eagle-Owl
Ketupa blakistoni;nordfiskeugle;Blakiston's Fish Owl
Ketupa zeylonensis;brunfiskeugle;Brown Fish Owl
Ketupa flavipes;rustfiskeugle;Tawny Fish Owl
Ketupa ketupu;malayfiskeugle;Buffy Fish Owl
Ketupa sumatrana;malayhubro;Barred Eagle-Owl
Ketupa nipalensis;skoghubro;Spot-bellied Eagle-Owl
Ketupa coromanda;braminhubro;Dusky Eagle-Owl
Ketupa philippensis;rusthubro;Philippine Eagle-Owl
Scotopelia peli;storflodugle;Pel's Fishing Owl
Scotopelia ussheri;liberiaflodugle;Rufous Fishing Owl
Scotopelia bouvieri;galleriflodugle;Vermiculated Fishing Owl
Psiloscops flammeolus;flammeugle;Flammulated Owl
Gymnasio nudipes;puertoricougle;Puerto Rican Owl
Megascops trichopsis;morseugle;Whiskered Screech Owl
Megascops clarkii;panamaugle;Bare-shanked Screech Owl
Megascops albogularis;andesugle;White-throated Screech Owl
Megascops choliba;tropeugle;Tropical Screech Owl
Megascops barbarus;guatemalaugle;Bearded Screech Owl
Megascops cooperi;krattugle;Pacific Screech Owl
Megascops kennicottii;totemugle;Western Screech Owl
Megascops asio;lundugle;Eastern Screech Owl
Megascops seductus;balsasugle;Balsas Screech Owl
Megascops guatemalae;mestisugle;Middle American Screech Owl
Megascops koepckeae;quechuaugle;Koepcke's Screech Owl
Megascops ingens;tåkeugle;Rufescent Screech Owl
Megascops petersoni;lojaugle;Cinnamon Screech Owl
Megascops marshalli;inkaugle;Cloud-forest Screech Owl
Megascops hoyi;saltaugle;Yungas Screech Owl
Megascops centralis;chocougle;Choco Screech Owl
Megascops roraimae;roraimaugle;Foothill Screech Owl
Megascops sanctaecatarinae;duskugle;Long-tufted Screech Owl
Megascops gilesi;santamartaugle;Santa Marta Screech Owl
Megascops roboratus;marañonugle;West Peruvian Screech Owl
Megascops watsonii;amazonugle;Tawny-bellied Screech Owl
Megascops atricapilla;svartkroneugle;Black-capped Screech Owl
Pulsatrix perspicillata;brilleugle;Spectacled Owl
Pulsatrix koeniswaldiana;gulbrynugle;Tawny-browed Owl
Pulsatrix melanota;rustkinnugle;Band-bellied Owl
Lophostrix cristata;hvittoppugle;Crested Owl
Strix seloputo;gulfjesugle;Spotted Wood Owl
Strix ocellata;hinduugle;Mottled Wood Owl
Strix leptogrammica;bendelugle;Brown Wood Owl
Strix aluco;kattugle;Tawny Owl
Strix mauritanica;maghrebugle;Maghreb Owl
Strix nivicolum;orientkattugle;Himalayan Owl
Strix hadorami;klippeugle;Desert Owl
Strix butleri;omanugle;Omani Owl
Strix occidentalis;flekkugle;Spotted Owl
Strix varia;høvdingugle;Barred Owl
Strix sartorii;aztekugle;Cinereous Owl
Strix fulvescens;mayaugle;Fulvous Owl
Strix hylophila;paranáugle;Rusty-barred Owl
Strix chacoensis;chacougle;Chaco Owl
Strix rufipes;chileugle;Rufous-legged Owl
Strix uralensis;slagugle;Ural Owl
Strix nebulosa;lappugle;Great Grey Owl
Strix woodfordii;panugle;African Wood Owl
Strix virgata;demonugle;Mottled Owl
Strix nigrolineata;linjeugle;Black-and-white Owl
Strix huhula;gitterugle;Black-banded Owl
Strix albitarsis;brynjeugle;Rufous-banded Owl
Colius striatus;brunmusfugl;Speckled Mousebird
Colius leucocephalus;hvitkronemusfugl;White-headed Mousebird
Colius castanotus;rødryggmusfugl;Red-backed Mousebird
Colius colius;hvitryggmusfugl;White-backed Mousebird
Urocolius macrourus;blånakkemusfugl;Blue-naped Mousebird
Urocolius indicus;rødmaskemusfugl;Red-faced Mousebird
Leptosomus discolor;kurol;Cuckoo-roller
Apaloderma narina;narinatrogon;Narina Trogon
Apaloderma aequatoriale;gulkinntrogon;Bare-cheeked Trogon
Apaloderma vittatum;blåbeltetrogon;Bar-tailed Trogon
Apalharpactes reinwardtii;blåhaletrogon;Javan Trogon
Apalharpactes mackloti;sumatratrogon;Sumatran Trogon
Harpactes fasciatus;hindutrogon;Malabar Trogon
Harpactes kasumba;rødnakketrogon;Red-naped Trogon
Harpactes diardii;rosenringtrogon;Diard's Trogon
Harpactes ardens;rosenbrysttrogon;Philippine Trogon
Harpactes whiteheadi;rødhettetrogon;Whitehead's Trogon
Harpactes orrhophaeus;kaneltrogon;Cinnamon-rumped Trogon
Harpactes duvaucelii;rødgumptrogon;Scarlet-rumped Trogon
Harpactes oreskios;olivenhodetrogon;Orange-breasted Trogon
Harpactes erythrocephalus;rødhodetrogon;Red-headed Trogon
Harpactes wardi;rosenbryntrogon;Ward's Trogon
Euptilotis neoxenus;øreketsal;Eared Quetzal
Pharomachrus pavoninus;amazonketsal;Pavonine Quetzal
Pharomachrus auriceps;svarthaleketsal;Golden-headed Quetzal
Pharomachrus mocinno;praktketsal;Resplendent Quetzal
Pharomachrus fulgidus;bronsekroneketsal;White-tipped Quetzal
Pharomachrus antisianus;krøllketsal;Crested Quetzal
Priotelus temnurus;kvasthaletrogon;Cuban Trogon
Priotelus roseigaster;hispaniolatrogon;Hispaniolan Trogon
Trogon clathratus;netthaletrogon;Lattice-tailed Trogon
Trogon massena;oransjenebbtrogon;Slaty-tailed Trogon
Trogon comptus;hvitøyetrogon;Choco Trogon
Trogon mesurus;ecuadortrogon;Ecuadorian Trogon
Trogon melanurus;svarthaletrogon;Black-tailed Trogon
Trogon melanocephalus;svarthodetrogon;Black-headed Trogon
Trogon citreolus;guløyetrogon;Citreoline Trogon
Trogon chionurus;hvithaletrogon;White-tailed Trogon
Trogon bairdii;blåryggtrogon;Baird's Trogon
Trogon viridis;grønnryggtrogon;Green-backed Trogon
Trogon caligatus;monokkeltrogon;Gartered Trogon
Trogon ramonianus;amazontrogon;Amazonian Trogon
Trogon violaceus;gulbrilletrogon;Guianan Trogon
Trogon curucui;blåkronetrogon;Blue-crowned Trogon
Trogon surrucura;surucuatrogon;Surucua Trogon
Trogon tenellus;nordedeltrogon;Northern Black-throated Trogon
Trogon cupreicauda;chocoedeltrogon;Choco Black-throated Trogon
Trogon rufus;amazonedeltrogon;Amazonian Black-throated Trogon
Trogon chrysochloros;søredeltrogon;Atlantic Black-throated Trogon
Trogon elegans;fagertrogon;Elegant Trogon
Trogon mexicanus;mexicotrogon;Mountain Trogon
Trogon collaris;båndtrogon;Collared Trogon
Trogon personatus;masketrogon;Masked Trogon
Upupa epops;hærfugl;Eurasian Hoopoe
Upupa africana;kastanjehærfugl;African Hoopoe
Upupa marginata;madagaskarhærfugl;Madagascar Hoopoe
Upupa antaios;kjempehærfugl;St. Helena Hoopoe
Phoeniculus castaneiceps;brunhodekakelar;Forest Wood Hoopoe
Phoeniculus bollei;hvithodekakelar;White-headed Wood Hoopoe
Phoeniculus purpureus;grønnkakelar;Green Wood Hoopoe
Phoeniculus somaliensis;svartnebbkakelar;Black-billed Wood Hoopoe
Phoeniculus damarensis;fiolettkakelar;Violet Wood Hoopoe
Phoeniculus granti;kenyakakelar;Grant's Wood Hoopoe
Rhinopomastus aterrimus;svartsabelnebb;Black Scimitarbill
Rhinopomastus cyanomelas;sørsabelnebb;Common Scimitarbill
Rhinopomastus minor;nordsabelnebb;Abyssinian Scimitarbill
Bucorvus abyssinicus;blåmaskehornravn;Abyssinian Ground Hornbill
Bucorvus leadbeateri;rødmaskehornravn;Southern Ground Hornbill
Tockus ruahae;tanzaniatoko;Tanzanian Red-billed Hornbill
Tockus kempi;guineatoko;Western Red-billed Hornbill
Tockus damarensis;damaratoko;Damara Red-billed Hornbill
Tockus rufirostris;blodnebbtoko;Southern Red-billed Hornbill
Tockus erythrorhynchus;rødnebbtoko;Northern Red-billed Hornbill
Tockus monteiri;hererotoko;Monteiro's Hornbill
Tockus deckeni;savannetoko;Von der Decken's Hornbill
Tockus jacksoni;turkanatoko;Jackson's Hornbill
Tockus leucomelas;banantoko;Southern Yellow-billed Hornbill
Tockus flavirostris;gulnebbtoko;Eastern Yellow-billed Hornbill
Lophoceros bradfieldi;ravinetoko;Bradfield's Hornbill
Lophoceros alboterminatus;bantutoko;Crowned Hornbill
Lophoceros semifasciatus;rødstripetoko;West African Pied Hornbill
Lophoceros fasciatus;palmetoko;Congo Pied Hornbill
Lophoceros hemprichii;klippetoko;Hemprich's Hornbill
Lophoceros nasutus;gråtoko;African Grey Hornbill
Lophoceros camurus;brundvergtoko;Red-billed Dwarf Hornbill
Lophoceros pallidirostris;miombotoko;Pale-billed Hornbill
Bycanistes fistulator;pipehornfugl;Piping Hornbill
Bycanistes bucinator;trompethornfugl;Trumpeter Hornbill
Bycanistes cylindricus;brunkinnhornfugl;Brown-cheeked Hornbill
Bycanistes albotibialis;båndhalehornfugl;White-thighed Hornbill
Bycanistes subcylindricus;gråkinnhornfugl;Black-and-white-casqued Hornbill
Bycanistes brevis;sølvkinnhornfugl;Silvery-cheeked Hornbill
Ceratogymna atrata;svarthornfugl;Black-casqued Hornbill
Ceratogymna elata;høvdinghornfugl;Yellow-casqued Hornbill
Horizocerus hartlaubi;svartdvergtoko;Western Dwarf Hornbill
Horizocerus granti;rødnesedvergtoko;Eastern Dwarf Hornbill
Horizocerus albocristatus;parykktoko;Western Long-tailed Hornbill
Horizocerus cassini;tupétoko;Eastern Long-tailed Hornbill
Berenicornis comatus;hvitmankehornfugl;White-crowned Hornbill
Buceros rhinoceros;neshornfugl;Rhinoceros Hornbill
Buceros bicornis;storhornfugl;Great Hornbill
Buceros hydrocorax;blodhornfugl;Rufous Hornbill
Rhinoplax vigil;hjelmhornfugl;Helmeted Hornbill
Anthracoceros marchei;palawanhornfugl;Palawan Hornbill
Anthracoceros albirostris;orienthornfugl;Oriental Pied Hornbill
Anthracoceros coronatus;hinduhornfugl;Malabar Pied Hornbill
Anthracoceros montani;suluhornfugl;Sulu Hornbill
Anthracoceros malayanus;malayhornfugl;Black Hornbill
Ocyceros griseus;malabarhornfugl;Malabar Grey Hornbill
Ocyceros gingalensis;singaleserhornfugl;Sri Lanka Grey Hornbill
Ocyceros birostris;indiahornfugl;Indian Grey Hornbill
Anorrhinus tickelli;brunhornfugl;Tickell's Brown Hornbill
Anorrhinus austeni;hvitkinnhornfugl;Austen's Brown Hornbill
Anorrhinus galeritus;bronsehornfugl;Bushy-crested Hornbill
Aceros nipalensis;rødhalshornfugl;Rufous-necked Hornbill
Rhyticeros plicatus;papuahornfugl;Blyth's Hornbill
Rhyticeros narcondami;narcondamhornfugl;Narcondam Hornbill
Rhyticeros undulatus;arrhornfugl;Wreathed Hornbill
Rhyticeros everetti;sumbahornfugl;Sumba Hornbill
Rhyticeros subruficollis;gulpunghornfugl;Plain-pouched Hornbill
Rhyticeros cassidix;knopphornfugl;Knobbed Hornbill
Rhabdotorrhinus waldeni;negroshornfugl;Walden's Hornbill
Rhabdotorrhinus leucocephalus;brunkronehornfugl;Writhed Hornbill
Rhabdotorrhinus exarhatus;sulawesihornfugl;Sulawesi Hornbill
Rhabdotorrhinus corrugatus;rynkehornfugl;Wrinkled Hornbill
Penelopides manillae;luzonhornfugl;Luzon Hornbill
Penelopides mindorensis;mindorohornfugl;Mindoro Hornbill
Penelopides affinis;mindanaohornfugl;Mindanao Hornbill
Penelopides samarensis;samarhornfugl;Samar Hornbill
Penelopides panini;visayhornfugl;Visayan Hornbill
Coracias naevius;striperåke;Purple Roller
Coracias benghalensis;bengalråke;Indian Roller
Coracias affinis;indokinaråke;Indochinese Roller
Coracias temminckii;sulawesiråke;Purple-winged Roller
Coracias spatulatus;vimpelråke;Racket-tailed Roller
Coracias caudatus;savanneråke;Lilac-breasted Roller
Coracias abyssinicus;sahelråke;Abyssinian Roller
Coracias garrulus;blåråke;European Roller
Coracias cyanogaster;hvithoderåke;Blue-bellied Roller
Eurystomus gularis;blåstruperåke;Blue-throated Roller
Eurystomus glaucurus;brednebbråke;Broad-billed Roller
Eurystomus orientalis;orientråke;Oriental Dollarbird
Eurystomus azureus;molukkråke;Azure Dollarbird
Brachypteracias leptosomus;tykknebbmarkråke;Short-legged Ground Roller
Geobiastes squamiger;skjellmarkråke;Scaly Ground Roller
Atelornis pittoides;pittamarkråke;Pitta-like Ground Roller
Atelornis crossleyi;rustmarkråke;Rufous-headed Ground Roller
Uratelornis chimaera;langhalemarkråke;Long-tailed Ground Roller
Actenoides monachus;munkeisfugl;Green-backed Kingfisher
Actenoides princeps;blåhodeisfugl;Scaly-breasted Kingfisher
Actenoides bougainvillei;mustasjeisfugl;Moustached Kingfisher
Actenoides lindsayi;dråpeisfugl;Spotted Wood Kingfisher
Actenoides hombroni;mindanaoisfugl;Blue-capped Kingfisher
Actenoides concretus;skjeggisfugl;Rufous-collared Kingfisher
Melidora macrorrhina;kroknebbisfugl;Hook-billed Kingfisher
Lacedo pulchella;blåhettekokaburra;Banded Kingfisher
Tanysiptera galatea;galateaisfugl;Common Paradise Kingfisher
Tanysiptera ellioti;kofiauisfugl;Kofiau Paradise Kingfisher
Tanysiptera riedelii;biakisfugl;Biak Paradise Kingfisher
Tanysiptera carolinae;numforisfugl;Numfor Paradise Kingfisher
Tanysiptera hydrocharis;aruisfugl;Little Paradise Kingfisher
Tanysiptera sylvia;trådstjertisfugl;Buff-breasted Paradise Kingfisher
Tanysiptera nigriceps;svarthodeisfugl;Black-capped Paradise Kingfisher
Tanysiptera nympha;nymfeisfugl;Red-breasted Paradise Kingfisher
Tanysiptera danae;brunisfugl;Brown-headed Paradise Kingfisher
Cittura cyanotis;harlekinisfugl;Sulawesi Lilac Kingfisher
Cittura sanghirensis;purpurisfugl;Sangihe Lilac Kingfisher
Dacelo rex;plogkokaburra;Shovel-billed Kookaburra
Dacelo tyro;fregnekokaburra;Spangled Kookaburra
Dacelo gaudichaud;hvitnebbkokaburra;Rufous-bellied Kookaburra
Dacelo novaeguineae;latterkokaburra;Laughing Kookaburra
Dacelo leachii;larmekokaburra;Blue-winged Kookaburra
Caridonax fulgidus;sundaisfugl;White-rumped Kingfisher
Pelargopsis capensis;storkenebbisfugl;Stork-billed Kingfisher
Pelargopsis melanorhyncha;sotvingeisfugl;Great-billed Kingfisher
Pelargopsis amauroptera;brunvingeisfugl;Brown-winged Kingfisher
Halcyon coromanda;flammeisfugl;Ruddy Kingfisher
Halcyon smyrnensis;kastanjeisfugl;White-throated Kingfisher
Halcyon gularis;brunbrystisfugl;Brown-breasted Kingfisher
Halcyon cyanoventris;javaisfugl;Javan Kingfisher
Halcyon badia;kakaoisfugl;Chocolate-backed Kingfisher
Halcyon pileata;svarthetteisfugl;Black-capped Kingfisher
Halcyon leucocephala;gråhodeisfugl;Grey-headed Kingfisher
Halcyon albiventris;brunhodeisfugl;Brown-hooded Kingfisher
Halcyon chelicuti;savanneisfugl;Striped Kingfisher
Halcyon malimbica;blåbrystisfugl;Blue-breasted Kingfisher
Halcyon senegalensis;lundisfugl;Woodland Kingfisher
Halcyon senegaloides;mangroveisfugl;Mangrove Kingfisher
Todiramphus nigrocyaneus;papuaisfugl;Blue-black Kingfisher
Todiramphus winchelli;halsbåndisfugl;Rufous-lored Kingfisher
Todiramphus diops;molukkisfugl;Blue-and-white Kingfisher
Todiramphus lazuli;lazuliisfugl;Lazuli Kingfisher
Todiramphus macleayii;skogisfugl;Forest Kingfisher
Todiramphus albonotatus;hvitryggisfugl;White-mantled Kingfisher
Todiramphus leucopygius;salomonisfugl;Ultramarine Kingfisher
Todiramphus farquhari;vanuatuisfugl;Vanuatu Kingfisher
Todiramphus funebris;sørgeisfugl;Sombre Kingfisher
